Ngày,Thứ,Chủ đề,Buổi,Thời gian,Hoạt động,Ghi chú
22/04/2025,Thứ 3,CHUẨN BỊ,Cả ngày,,"Chuẩn bị giấy tờ (CCCD, vé máy bay, xác nhận đặt xe, thông tin chỗ ở)",
22/04/2025,Thứ 3,CHUẨN BỊ,Cả ngày,,"Chuẩn bị đồ cá nhân (quần áo, đồ bơi, dép, nón, kính mát, áo chống nắng)",
22/04/2025,Thứ 3,CHUẨN BỊ,Cả ngày,,"Chuẩn bị skincare (kem chống nắng SPF50+, sữa rửa mặt, dưỡng ẩm)",
22/04/2025,Thứ 3,CHUẨN BỊ,Cả ngày,,"Chuẩn bị đồ công nghệ (sạc, pin dự phòng, tai nghe, laptop x3)",
22/04/2025,Thứ 3,CHUẨN BỊ,Tối,Trước 22:00,"Pack đồ xong, check-in online vé máy bay, xác nhận đặt xe ra sân bay",
22/04/2025,Thứ 3,CHUẨN BỊ,Tối,Trước 23:00,Nghỉ ngơi — set ít nhất 2 báo thức,
23/04/2025,Thứ 4,TRAVEL DAY,Sáng,06:00,Xuất phát từ nhà → sân bay Nội Bài,
23/04/2025,Thứ 4,TRAVEL DAY,Sáng,09:10 – 11:20,Bay đến sân bay Cam Ranh,
23/04/2025,Thứ 4,TRAVEL DAY,Sáng,11:20 – 12:00,Lấy hành lý + ra ngoài,
23/04/2025,Thứ 4,TRAVEL DAY,Trưa,12:00 – 13:00,Ăn trưa gần sân bay (Cam Ranh / Cam Lâm),"Ưu tiên món nhẹ: cơm, bún, phở"
23/04/2025,Thứ 4,TRAVEL DAY,Chiều,~13:00 – 17:00,Đi xe khách / limousine về Phan Thiết,Điểm xuống: Ngã 3 Rạng (Mũi Né)
23/04/2025,Thứ 4,TRAVEL DAY,Tối,17:00 – 18:00,Nhận phòng / đến chỗ mẹ,
23/04/2025,Thứ 4,TRAVEL DAY,Tối,18:00 – 20:00,Ăn tối cùng gia đình — thư giãn nhẹ,
24/04/2025,Thứ 5,PICKLEBALL SUPPORT,Sáng,07:30 – 08:30,"Thức dậy, ăn sáng",
24/04/2025,Thứ 5,PICKLEBALL SUPPORT,Sáng,08:30 – 11:30,"Ra sân pickleball hỗ trợ mẹ (chuẩn bị sân, hỗ trợ khách, sắp xếp dụng cụ)",
24/04/2025,Thứ 5,PICKLEBALL SUPPORT,Trưa,11:30 – 13:30,"Ăn trưa, nghỉ ngơi",
24/04/2025,Thứ 5,PICKLEBALL SUPPORT,Chiều,13:30 – 17:30,Tiếp tục hỗ trợ tại sân pickleball,
24/04/2025,Thứ 5,PICKLEBALL SUPPORT,Tối,18:00 – 20:00,Ăn tối,
24/04/2025,Thứ 5,PICKLEBALL SUPPORT,Tối,20:00 – 22:00,Đi dạo / cafe nhẹ / nghỉ ngơi,
